case	verdict	max_abs_diff	ssim	tol_max	tol_ssim	source	golden
smoothstep	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/smoothstep.golden.png
snow	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/snow.golden.png
sobel	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/sobel.golden.png
solid	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/solid.golden.png
spatter	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/spatter.golden.png
spinBlur	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/spinBlur.golden.png
spiral	NEAR	3.0	0.99998	3.0	0.98	sweep	parity/out/spiral.golden.png
splat	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/splat.golden.png
split	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/split.golden.png
spookyTicker	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/spookyTicker.golden.png
stamp	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/stamp.golden.png
step	NEAR	3.0	1.00000	3.0	0.99	sweep	parity/out/step.golden.png
stipple	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/stipple.golden.png
stipple_mode_mezzoDots	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/stipple_mode_mezzoDots.golden.png
stipple_mode_mezzoLines	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/stipple_mode_mezzoLines.golden.png
stipple_mode_mezzoStrokes	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/stipple_mode_mezzoStrokes.golden.png
stipple_mode_pointillize	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/stipple_mode_pointillize.golden.png
stipple_mode_reticulation	PASS	1.0	0.99996	2.001	0.98	sweep	parity/out/stipple_mode_reticulation.golden.png
strayHair	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/strayHair.golden.png
strokes	PASS	2.0	0.99998	2.001	0.98	sweep	parity/out/strokes.golden.png
strokes_mode_angled	PASS	2.0	0.99998	2.001	0.98	sweep	parity/out/strokes_mode_angled.golden.png
strokes_mode_dark	PASS	2.0	0.99998	2.001	0.98	sweep	parity/out/strokes_mode_dark.golden.png
strokes_mode_smudge	NEAR	65.0	0.99996	255.0	0.99	sweep	parity/out/strokes_mode_smudge.golden.png
strokes_mode_sprayed	PASS	2.0	0.99998	2.001	0.98	sweep	parity/out/strokes_mode_sprayed.golden.png
strokes_mode_sumiE	PASS	2.0	0.99995	2.001	0.98	sweep	parity/out/strokes_mode_sumiE.golden.png
subdivide	PASS	1.0	1.00000	2.001	0.98	sweep	parity/out/subdivide.golden.png
synth3d_cellularAutomata3d.f0001	PASS	1.0	0.99999	2.001	0.98	accumulate	parity/out/synth3d_cellularAutomata3d.f0001.golden.png
synth3d_cellularAutomata3d.f0002	PASS	1.0	0.99999	2.001	0.98	accumulate	parity/out/synth3d_cellularAutomata3d.f0002.golden.png
synth3d_cellularAutomata3d.f0008	NEAR	170.0	0.99646	255.0	0.98	accumulate	parity/out/synth3d_cellularAutomata3d.f0008.golden.png
synth3d_reactionDiffusion3d.f0001	PASS	1.0	1.00000	2.001	0.98	accumulate	parity/out/synth3d_reactionDiffusion3d.f0001.golden.png
synth3d_reactionDiffusion3d.f0002	PASS	1.0	1.00000	2.001	0.98	accumulate	parity/out/synth3d_reactionDiffusion3d.f0002.golden.png
synth3d_reactionDiffusion3d.f0008	CHAOS	183.0	0.97714	255.0	0.0	accumulate	parity/out/synth3d_reactionDiffusion3d.f0008.golden.png
synth3d_renderCubemap3d.cross	PASS	1.0	1.00000	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.cross.golden.png
synth3d_renderCubemap3d.face0	PASS	1.0	0.99987	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face0.golden.png
synth3d_renderCubemap3d.face1	PASS	1.0	0.99988	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face1.golden.png
synth3d_renderCubemap3d.face2	PASS	1.0	0.99996	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face2.golden.png
synth3d_renderCubemap3d.face3	PASS	1.0	0.99994	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face3.golden.png
synth3d_renderCubemap3d.face4	PASS	1.0	0.99997	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face4.golden.png
synth3d_renderCubemap3d.face5	PASS	1.0	0.99995	2.0	0.98	cubemap	parity/out/synth3d_renderCubemap3d.face5.golden.png
synth3d_renderCubemapSurface.cross	PASS	1.0	1.00000	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.cross.golden.png
synth3d_renderCubemapSurface.face0	PASS	1.0	0.99986	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face0.golden.png
synth3d_renderCubemapSurface.face1	PASS	0.0	1.00000	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face1.golden.png
synth3d_renderCubemapSurface.face2	PASS	1.0	0.99996	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face2.golden.png
synth3d_renderCubemapSurface.face3	PASS	1.0	0.99997	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face3.golden.png
synth3d_renderCubemapSurface.face4	PASS	1.0	0.99994	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face4.golden.png
synth3d_renderCubemapSurface.face5	PASS	1.0	0.99994	2.0	0.98	cubemap	parity/out/synth3d_renderCubemapSurface.face5.golden.png
testPattern	PASS	0.0	1.00000	2.001	0.98	sweep	parity/out/testPattern.golden.png
tetraColorArray	PASS	1.0	0.99999	2.001	0.98	sweep	parity/out/tetraColorArray.golden.png
tetraCosine	PASS	1.0	0.99997	2.001	0.98	sweep	parity/out/tetraCosine.golden.png
texture	PASS	1.0	0.99998	2.001	0.98	sweep	parity/out/texture.golden.png
